"Story","Title","Result","Date","Stability","Duration (s)"
"Categories CRUD test","This will create new categories","SUCCESS","2022-06-07T16:09:23.375+01:00[Europe/London]","0.0","8.41"
"Categories CRUD test"," Verify the categories by name: {0}","SUCCESS","2022-06-07T16:09:31.828+01:00[Europe/London]","0.0","0.27"
"Categories CRUD test"," Update categories with id{0}, name: {0}, Id{0}","SUCCESS","2022-06-07T16:09:32.094+01:00[Europe/London]","0.0","0.16"
"Categories CRUD test","Delete the product by ID{0}","SUCCESS","2022-06-07T16:09:32.250+01:00[Europe/London]","0.0","0.61"
