"Story","Title","Result","Date","Stability","Duration (s)"
"Stores CRUD test with steps","This will create a new Stores","SUCCESS","2022-06-07T16:09:34.649+01:00[Europe/London]","0.0","0.08"
"Stores CRUD test with steps","Verify if the store information was added into the application","SUCCESS","2022-06-07T16:09:34.743+01:00[Europe/London]","0.0","0.03"
"Stores CRUD test with steps","Update the product information","SUCCESS","2022-06-07T16:09:34.775+01:00[Europe/London]","0.0","0.08"
"Stores CRUD test with steps","Delete the product by ID","SUCCESS","2022-06-07T16:09:34.855+01:00[Europe/London]","0.0","0.08"
